index,barcode,row,col,imagerow,imagecol,is_center
501,38x32,38,32,2035,1705,0
502,9x48,9,48,451,2577,0
503,31x11,31,11,1652,559,0
504,15x18,15,18,778,941,0
505,42x21,42,21,2253,1105,1
506,43x21,43,21,2308,1105,0
507,17x31,17,31,888,1650,0
508,28x18,28,18,1489,941,0
509,4x19,4,19,178,995,1
510,33x24,33,24,1762,1268,0
511,40x21,40,21,2144,1105,1
512,42x31,42,31,2253,1650,1
513,24x31,24,31,1270,1650,1
514,40x14,40,14,2144,723,0
515,29x49,29,49,1543,2632,0
516,31x23,31,23,1652,1214,0
517,37x43,37,43,1980,2305,0
518,33x10,33,10,1762,505,0
519,42x25,42,25,2253,1323,1
520,26x41,26,41,1379,2195,1
521,31x22,31,22,1652,1159,0
522,26x32,26,32,1379,1705,0
523,32x40,32,40,1707,2141,0
524,39x41,39,41,2089,2195,0
525,40x15,40,15,2144,777,1
526,5x17,5,17,232,886,0
527,21x16,21,16,1106,832,0
528,39x36,39,36,2089,1923,0
529,18x44,18,44,942,2359,0
530,8x21,8,21,396,1105,0
531,40x12,40,12,2144,614,0
532,39x23,39,23,2089,1214,0
533,38x5,38,5,2035,232,1
534,27x30,27,30,1434,1595,0
535,37x11,37,11,1980,559,0
536,13x27,13,27,669,1432,0
537,15x19,15,19,778,995,0
538,11x19,11,19,560,995,0
539,39x20,39,20,2089,1050,0
540,32x4,32,4,1707,177,0
541,46x3,46,3,2472,123,1
542,16x15,16,15,833,777,1
543,13x49,13,49,669,2632,0
544,31x33,31,33,1652,1759,0
545,40x26,40,26,2144,1377,0
546,2x20,2,20,68,1050,0
547,27x15,27,15,1434,777,0
548,13x26,13,26,669,1377,0
549,35x33,35,33,1871,1759,0
550,31x15,31,15,1652,777,0
551,38x27,38,27,2035,1432,0
552,6x45,6,45,287,2414,0
553,47x40,47,40,2526,2141,0
554,26x28,26,28,1379,1486,0
555,21x12,21,12,1106,614,0
556,13x48,13,48,669,2577,0
557,39x40,39,40,2089,2141,0
558,14x34,14,34,724,1814,0
559,36x24,36,24,1926,1268,0
560,37x12,37,12,1980,614,0
561,40x42,40,42,2144,2250,0
562,44x37,44,37,2363,1977,0
563,31x35,31,35,1652,1868,0
564,23x8,23,8,1215,395,0
565,47x33,47,33,2526,1759,0
566,24x7,24,7,1270,341,1
567,27x13,27,13,1434,668,0
568,6x40,6,40,287,2141,0
569,5x40,5,40,232,2141,0
570,40x5,40,5,2144,232,1
571,23x30,23,30,1215,1595,0
572,4x29,4,29,178,1541,0
573,13x16,13,16,669,832,0
574,26x38,26,38,1379,2032,0
575,43x28,43,28,2308,1486,0
576,13x40,13,40,669,2141,0
577,18x45,18,45,942,2414,1
578,25x36,25,36,1325,1923,0
579,38x16,38,16,2035,832,0
580,4x41,4,41,178,2195,1
581,27x12,27,12,1434,614,0
582,23x18,23,18,1215,941,0
583,38x29,38,29,2035,1541,1
584,46x33,46,33,2472,1759,1
585,25x44,25,44,1325,2359,0
586,24x15,24,15,1270,777,1
587,14x13,14,13,724,668,1
588,19x35,19,35,997,1868,0
589,34x33,34,33,1816,1759,1
590,29x17,29,17,1543,886,0
591,23x6,23,6,1215,286,0
592,19x8,19,8,997,395,0
593,28x20,28,20,1489,1050,0
594,4x40,4,40,178,2141,0
595,34x26,34,26,1816,1377,0
596,30x15,30,15,1598,777,1
597,30x38,30,38,1598,2032,0
598,31x10,31,10,1652,505,0
599,42x32,42,32,2253,1705,0
600,31x27,31,27,1652,1432,0
601,18x35,18,35,942,1868,1
602,25x10,25,10,1325,505,0
603,14x42,14,42,724,2250,0
604,22x9,22,9,1161,450,1
605,21x24,21,24,1106,1268,0
606,7x20,7,20,341,1050,0
607,14x14,14,14,724,723,0
608,24x34,24,34,1270,1814,0
609,4x38,4,38,178,2032,0
610,21x49,21,49,1106,2632,0
611,5x34,5,34,232,1814,0
612,7x18,7,18,341,941,0
613,26x42,26,42,1379,2250,0
614,39x21,39,21,2089,1105,0
615,45x2,45,2,2417,68,0
616,21x36,21,36,1106,1923,0
617,39x22,39,22,2089,1159,0
618,14x49,14,49,724,2632,0
619,36x18,36,18,1926,941,0
620,34x13,34,13,1816,668,1
621,19x15,19,15,997,777,0
622,6x32,6,32,287,1705,0
623,47x4,47,4,2526,177,0
624,42x39,42,39,2253,2086,1
625,29x30,29,30,1543,1595,0
626,38x25,38,25,2035,1323,1
627,10x48,10,48,505,2577,0
628,22x30,22,30,1161,1595,0
629,5x27,5,27,232,1432,0
630,30x41,30,41,1598,2195,1
631,17x34,17,34,888,1814,0
632,48x5,48,5,2581,232,1
633,42x6,42,6,2253,286,0
634,25x46,25,46,1325,2468,0
635,18x40,18,40,942,2141,0
636,14x19,14,19,724,995,0
637,36x38,36,38,1926,2032,0
638,29x19,29,19,1543,995,0
639,33x20,33,20,1762,1050,0
640,22x49,22,49,1161,2632,0
641,19x49,19,49,997,2632,0
642,36x36,36,36,1926,1923,0
643,23x16,23,16,1215,832,0
644,16x48,16,48,833,2577,0
645,37x32,37,32,1980,1705,0
646,43x36,43,36,2308,1923,0
647,25x17,25,17,1325,886,0
648,20x41,20,41,1052,2195,1
