"","TMEM132D","CPNE5","RNA18S5","NMNAT1","ALG5","RNA28S5","RPL13","CCBL1","RPS9","MEIS1.AS1"
"41x15",0,0,6,0,0,4,0,0,0,0
"35x5",4,0,16,1,0,0,0,0,0,0
"33x7",0,1,2,2,0,0,0,0,0,0
"15x34",0,0,193,0,0,26,13,0,0,0
"24x33",0,1,61,4,0,13,4,0,1,0
"38x11",1,0,12,0,0,3,1,0,0,0
"11x32",0,0,5,0,0,0,0,0,0,0
"11x49",0,0,5,0,0,1,1,0,1,0
"3x23",0,1,11,0,0,5,0,0,1,0
"19x26",0,0,11,0,0,1,0,0,0,0
"22x41",0,0,162,0,0,11,1,0,4,0
"5x43",0,0,9,1,0,1,1,0,1,0
"12x40",0,0,8,1,0,1,0,0,0,0
"32x11",0,0,1,1,0,2,1,0,0,0
"18x11",0,0,24,0,0,9,0,0,0,0
"43x26",0,0,0,0,0,1,1,0,0,0
"37x13",0,0,4,0,0,0,1,0,0,0
"25x9",2,2,10,0,1,2,0,0,1,0
"7x19",0,0,6,0,0,0,0,0,0,0
"36x27",0,0,7,0,0,4,0,0,0,0
"5x22",0,0,10,0,0,1,0,0,0,0
"4x28",0,0,21,0,0,1,0,0,0,0
"38x13",0,0,10,0,0,1,1,0,0,0
"24x30",0,0,226,2,0,25,1,0,3,0
"25x19",0,0,8,0,0,1,0,4,0,0
"15x42",0,2,9,0,0,1,0,0,0,0
"18x34",0,0,354,3,0,35,6,0,2,0
"45x19",1,0,2,0,0,2,0,0,0,0
"12x48",0,0,2,0,0,0,2,0,0,0
"44x4",0,0,28,0,0,0,0,0,0,0
"42x9",0,0,1,0,0,0,0,0,0,0
"7x39",0,0,7,0,0,3,0,0,2,0
"34x32",0,4,154,2,0,8,6,0,39,0
"33x27",0,0,17,0,0,2,0,0,0,0
"38x31",0,0,34,0,0,3,0,0,0,0
"44x43",0,1,2,2,0,0,0,0,0,0
"8x40",0,0,7,0,0,2,0,0,0,0
"48x10",0,0,3,0,0,0,0,0,0,0
"8x16",2,0,2,1,0,0,0,0,0,0
"26x15",0,0,4,1,0,0,1,0,1,0
"31x34",0,1,348,2,0,38,1,0,0,0
"39x11",0,0,4,0,0,0,0,0,0,0
"6x42",0,0,6,0,0,0,0,0,0,0
"47x34",0,2,16,0,0,2,0,0,0,0
"18x39",0,0,13,1,0,4,0,0,1,0
"27x29",0,0,92,0,0,18,16,0,26,0
"4x23",0,0,7,0,0,0,1,0,0,0
"31x32",0,0,306,0,17,15,13,0,4,0
"4x31",0,0,15,0,0,2,0,0,0,0
"22x28",0,0,394,3,0,27,15,0,31,0
"20x48",0,0,2,0,0,0,1,0,0,0
"12x14",5,1,5,2,0,1,0,0,0,0
"45x15",0,0,3,0,0,1,0,0,0,0
"27x40",0,0,120,1,0,16,2,0,3,0
"26x34",0,0,245,0,0,32,2,0,3,0
"26x17",0,0,4,1,0,0,0,0,0,0
"11x35",0,0,13,0,0,0,0,0,0,0
"35x35",0,0,205,3,0,31,7,0,0,0
"39x24",0,0,3,0,0,1,0,0,0,0
"10x18",0,0,1,0,0,1,0,0,0,0
"23x33",1,0,82,1,0,19,17,0,8,0
"23x36",0,0,51,0,0,17,1,0,1,0
"37x41",0,0,34,0,0,5,0,0,0,0
"40x7",0,0,11,0,0,1,0,0,0,0
"22x26",0,0,8,0,0,1,1,0,0,0
"42x28",0,0,11,1,0,3,0,0,0,0
"3x30",0,0,6,0,0,0,0,0,0,0
"28x7",2,2,8,2,1,2,0,0,0,0
"48x4",1,0,26,0,0,0,0,0,1,0
"4x21",2,0,23,0,0,10,3,0,2,0
"13x44",0,0,1,0,0,0,0,0,0,0
"33x18",0,0,8,0,0,0,1,0,0,0
"43x20",0,0,4,0,0,0,0,1,0,0
"14x31",0,0,7,0,0,7,0,0,0,0
"23x31",0,0,459,0,0,55,5,0,1,0
"19x47",0,0,13,1,0,4,0,0,0,0
"39x5",0,0,17,0,0,1,0,0,0,0
"27x7",0,0,6,1,0,1,0,0,0,0
"6x23",1,1,4,0,0,0,0,0,0,0
"42x23",0,0,1,0,0,2,0,0,0,0
"41x18",0,0,4,0,0,7,0,0,1,0
"41x27",0,0,2,0,0,0,1,0,0,0
"32x10",0,0,6,0,0,0,0,0,0,0
